gene_id,H1_Cell_Line,CD4_Memory_Primary_Cells,CD4_Naive_Primary_Cells,Adult_Liver,HepG2_Hepatocellular_Carcinoma
ENSG00000041802,17,23,23,10,8
ENSG00000041880,0,6,7,11,16
ENSG00000041982,12,0,0,4,0
ENSG00000041988,2,7,9,3,3
ENSG00000042062,1,3,3,4,0
ENSG00000042088,10,9,10,2,5
ENSG00000042286,0,1,2,5,22
ENSG00000042445,12,9,7,102,49
ENSG00000042493,14,10,3,2,3
ENSG00000042753,108,14,14,220,48
ENSG00000042980,0,2,0,0,0
ENSG00000043039,0,0,0,0,0
ENSG00000043093,10,10,9,9,3
ENSG00000043143,6,36,38,2,3
ENSG00000043355,112,0,0,0,0
ENSG00000043462,0,45,75,8,0
ENSG00000043514,12,3,6,5,7
ENSG00000043591,0,0,0,2,0
ENSG00000044012,0,0,0,9,0
ENSG00000044090,5,6,9,4,73
ENSG00000044115,47,4,0,26,21
ENSG00000044446,6,11,13,13,87
ENSG00000044524,0,0,0,2,0
ENSG00000046604,175,0,0,10,79
ENSG00000046647,6,6,7,6,10
ENSG00000046651,9,17,24,4,11
ENSG00000046653,71,1,1,1,0
ENSG00000046774,0,0,0,0,0
ENSG00000047056,3,11,17,3,6
ENSG00000047188,4,15,19,4,3
ENSG00000047230,8,2,3,4,7
ENSG00000047249,4,8,7,7,4
ENSG00000047315,29,39,39,12,30
ENSG00000047346,3,34,44,17,5
ENSG00000047365,0,34,14,2,0
ENSG00000047410,28,42,46,8,24
ENSG00000047457,0,0,1,897,373
ENSG00000047578,3,9,7,0,6
ENSG00000047579,2,5,6,4,5
ENSG00000047597,0,0,0,0,0
ENSG00000047621,3,5,4,2,2
ENSG00000047634,1,12,50,11,65
ENSG00000047644,12,14,13,2,3
ENSG00000047648,0,0,0,0,0
ENSG00000047662,0,6,9,0,0
ENSG00000047849,27,20,10,5,15
ENSG00000047932,8,11,17,9,19
ENSG00000047936,0,0,0,0,0
ENSG00000048028,35,4,4,3,10
ENSG00000048140,12,7,6,4,7
ENSG00000048162,19,17,17,13,17
ENSG00000048392,19,5,4,5,9
ENSG00000048405,2,33,36,5,2
ENSG00000048462,0,0,0,0,0
ENSG00000048471,1,19,24,1,3
ENSG00000048540,2,0,0,0,0
ENSG00000048649,11,11,12,5,2
ENSG00000048707,2,19,21,2,3
ENSG00000048740,6,117,137,2,0
ENSG00000048828,20,47,42,29,29
ENSG00000048991,21,12,13,2,16
ENSG00000049089,1,1,1,0,18
ENSG00000049130,2,0,0,0,0
